license_number,license_type,Dba,Premise_address,City,licensee,gov,Community Council
11000,Retail Marijuana Store,CHENA CANNABIS,"1725 Richardson Highway, Suite 101",North Pole,"Arctic Greenery, LLC",Fairbanks North Star Borough,
11031,Retail Marijuana Store,GREEN DEGREE,2301 South Knik-Goose Bay Rd #1B,Wasilla,Kerby's Corporation,Matanuska-Susitna Borough,Knik-Fairview
11051,Standard Marijuana Cultivation Facility,"NORTHLINK, LLC","1550 Cushman, Suite B",Fairbanks,"Northlink, LLC",Fairbanks (City of),
11053,Retail Marijuana Store,TRUE DANK,"1550 Cushman, Suite A",Fairbanks,"True Dank, LLC",Fairbanks (City of),
11092,Standard Marijuana Cultivation Facility,"FAIRBANKS FIREWEED, LLC","2101 Sheldon Avenue, Unit 2",Fairbanks,"Fairbanks Fireweed, LLC",Fairbanks North Star Borough,
11118,Standard Marijuana Cultivation Facility,MERCY TREE OF ALASKA,1648 N. Post Road,Anchorage,"B2C2LH, LLC",Anchorage (Municipality of),Government Hill
11119,Retail Marijuana Store,GUDLIEF ORGANIZATION,303-C West E. Street,Nome,ROBIN C THOMAS,Nome,
11121,Retail Marijuana Store,"BAD GRAMM3R, LLC",1150 N Helen Lane,Wasilla,"bad gramm3r, LLC",Matanuska-Susitna Borough,None
11138,Standard Marijuana Cultivation Facility,"FAT TOPS, LLC.",36380 Murray Lane,Soldotna,"FAT TOPS, LLC.",Kenai Peninsula Borough,
11140,Retail Marijuana Store,"FAT TOPS, LLC.",36380 Murray Lane,Soldotna,"FAT TOPS, LLC.",Kenai Peninsula Borough,
11198,Retail Marijuana Store,ONE HIT WONDER,"3025 Parks Hwy, Suite 1",Fairbanks,"OHWWHO, LLC",Fairbanks North Star Borough,
11214,Standard Marijuana Cultivation Facility,ALASKA HARVEST COMPANY LLC,"24900 Orion St., Unit B",Kasilof,Alaska Harvest Company LLC,Kenai Peninsula Borough,
11234,Standard Marijuana Cultivation Facility,DKW FARMS LLC,4269 Richardson Hwy,Valdez,DKW Farms LLC,Valdez,
11303,Retail Marijuana Store,HOLLYWEED 907,2429 E. 88th Ave,Anchorage,YNY Investment LLC,Anchorage (Municipality of),Abbott Loop
11319,Standard Marijuana Cultivation Facility,"FRONTIER GROW LABS, LLC","1725 Richardson Highway, Suites 108",North Pole,"Frontier Grow Labs, LLC",Fairbanks North Star Borough,
11382,Retail Marijuana Store,DENALI'S CANNABIS CACHE LLC,"M.M. 238.9 George Parks HWY., Suite 420",Denali National Park,Denali's Cannabis Cache LLC,Denali Borough,
11424,Standard Marijuana Cultivation Facility,BLUE BEAR CANNAFARM,2091 Andromeda Dr,Fairbanks,"Blue Bear Farms, LLC",Fairbanks North Star Borough,
11488,Standard Marijuana Cultivation Facility,"ALASKA TASTY CANNABIS, LLC.",2397 Tamara Avenue,Fairbanks,"ALASKA TASTY CANNABIS, LLC.",Fairbanks North Star Borough,
11509,Retail Marijuana Store,PERMAFROST DISTRIBUTORS,32630 June Dr.,Sterling,CHASE R GRIFFITH,Kenai Peninsula Borough,
11519,Limited Marijuana Cultivation Facility,PERMAFROST DISTRIBUTORS,32630 June Dr.,Sterling,CHASE R GRIFFITH,Kenai Peninsula Borough,
11556,Limited Marijuana Cultivation Facility,ALASKAN DEVILS LETTUCE,47375 Aries Ct.,Soldotna,JACOB NYMAN,Kenai Peninsula Borough,
11605,Standard Marijuana Cultivation Facility,ALWAYS REDEYE LLC,2005 Anka Street,Juneau,Always Redeye LLC,Juneau (City and Borough of),
11611,Standard Marijuana Cultivation Facility,KUSHTOPIA,1044 s old Glenn hwy,Palmer,"Prestige Worldwide Management, LLC",Matanuska-Susitna Borough,Butte
11614,Retail Marijuana Store,AK JOINT,"7801 Schoon St, Unit F",Anchorage,"Alaska Joint Ventures, LLC",Anchorage (Municipality of),Taku Campbell
11617,Standard Marijuana Cultivation Facility,HUNTER GREENS AND PURPLES LLC,67927 Virginia Ave,Homer,"Hunter Greens and Purples, LLC",Kenai Peninsula Borough,
11638,Retail Marijuana Store,CATALYST CANNABIS COMPANY,"9900 Old Seward Highway, #4",Anchorage,Broken Dirt LLC,Anchorage (Municipality of),Bayshore/Klatt
11649,Standard Marijuana Cultivation Facility,K BEACH REEF,42106 K Beach Rd,Soldotna,RYAN K HALL,Kenai Peninsula Borough,
11651,Limited Marijuana Cultivation Facility,ALASKA CANNABIS PROPAGATION,2301 S.Knik-Goose Bay Road #4b,Wasilla,STEVEN NICOL; ELLIOTT LANGFORD,Matanuska-Susitna Borough,Knik-Fairview
11778,Limited Marijuana Cultivation Facility,"OLD SCHOOL & BUFFIE, LLC","10263 Nigh Road, #5",Anchorage,"Old School & Buffie, LLC",Anchorage (Municipality of),Bayshore/Klatt
11794,Limited Marijuana Cultivation Facility,NORTH ROAD BUDS,50815 Old Lamplight Rd,Nikiski,L SMITH; VERNON L SMITH,Kenai Peninsula Borough,
11921,Limited Marijuana Cultivation Facility,"AMERICAN GROWERS COMPANY, LLC",13150 East Soapstone Road,Palmer,"American Growers Company, LLC",Matanuska-Susitna Borough,Buffalo Mine/Soapstone
